매장명,주소,전화번호
카미사마 화성팔탄점,"경기 화성시 팔탄면 서해로 961 (지월리, 팔탄 자동차정비공장) 1급화성자동차정비검사소",031-351-5105
카미사마 안산원시점,"경기 안산시 단원구 산단로 107 (원시동, 서흥테크노밸리) 가순국자동차정비",031-508-8555
카미사마 정읍점,전북 정읍시 충정로 131-1 (상동) 대동카모터라이즈,063-531-7350
카미사마 안성점,경기 안성시 보개면 보개원삼로 226 (불현리) 보개모터스,031-677-3391
카미사마 남청주IC점,충청북도 청주시 서원구 남이면 청남로 856,043-268-7578
카미사마 전주서서학점,전라북도 전주시 완산구 장승배기로 315 (서서학동),063--231
카미사마 포항장성점,경상북도 포항시 북구 법원로 97번길 24-12 (장성동),010-9155-0301
카미사마 충주점,충청북도 충주시 봉방동 237-5,043-842-0880
카미사마 대전점,"대전광역시 동구 대전로 574, 1층 (천동)",042-282-7578
카미사마 당진점,충청남도 당진시 원당로 11 (원당동),041-355-4553
카미사마 거제점,경상남도 거제시 사등면 거제대로 5671 (성포리),055-632-0018
카미사마 당진합덕점,충청남도 당진시 합덕읍 덕평로 428 (운산리),041-363-2677
카미사마 완도점,전라남도 완도군 완도읍 장보고대로 251 (군내리),061-555-1364
카미사마 곤양점,경상남도 사천시 곤양면 남산로 81 (남문외리),055-855-4566
카미사마 혁신테크노점,대구광역시 달성군 유가읍 용리 886-1,053-611-7367
카미사마 포항달전점,경상북도 포항시 북구 흥해읍 도음로 941 (성곡리),054-262-4853
카미사마 아산점,충청남도 아산시 음봉면 연암율금로 133 (소동리),010-9916-8488
카미사마 안산상록수점,경기도 안산시 상록구 오목로 190 (본오동),031-407-7088
카미사마 본사,세종특별자치시 조치원읍 도화로 61 (죽림리),1811-6654-
카미사마 제주지사,제주특별자치도 제주시 연북로 668 (이도이동),064-721-1101
카미사마 화성남양점,경기도 화성시 남양읍 남양로 470-1 (신남리) 1동,031-356-9060
카미사마 진해두동점,경남 창원시 진해구 두동동로 46번길 11,055-552-0279
카미사마 화성점,경기도 화성시 남양읍 역골로 72-10,031-355-3235
카미사마 익산점,전라북도 익산시 황등면 화강암로 59 (황등리),063-858-0111
